"Variable_Name","Data_Type","Missing_Percent_Raw","Missing_Percent_Cleaned","Label","Valid_Values","Imputation","Notes"
"Patient.Name","character",0,0,"Patient Name","See dataset documentation","None","Names standardised and deduplicated"
"Age","numeric",15.9,0,"Patient Age","0-120","Median imputation","Text converted to numeric"
"Gender","character",0,0,"Patient Gender","Male, Female, Other","None","Categorical values standardised"
"Condition","character",0,0,"Medical Condition","See dataset documentation","None","Condition names normalised"
"Medication","character",0,0,"Medication Name","See dataset documentation","None","Medication names standardised"
"Visit.Date","POSIXct",0,0,"Visit Date","See dataset documentation","None","Parsed from multiple date formats"
"Blood.Pressure","character",16.6,14,"Blood Pressure Reading","See dataset documentation","None",""
"Cholesterol","integer",23.1,16,"Cholesterol Level","See dataset documentation","None",""
"Email","character",38.4,44,"Patient Email Address","See dataset documentation","None",""
"Phone.Number","character",17.9,42,"Patient Contact Number","See dataset documentation","None","Non-digit characters removed"
"Age_Original","numeric",NA,22,"Original Age Before Imputation","See dataset documentation","Reference variable only","Stored for imputation comparison"
"Age_Imputed_Flag","logical",NA,0,"Age Imputation Indicator","TRUE/FALSE","Generated during imputation","Indicates imputed observations"
